lat,lon,time_min,time_max,surface_time,depth_min,depth_max,num_points,steric,Mooring_ID
36.20708783040008,-123.91285448964334,9988426.431000063,9993060.431000063,9988638,-499.63052,-0.039707042,1158,-8.423005210008867,ru38
36.196585385350986,-123.9311364182698,9993060.431000063,9997708.431000063,9997416,-499.57153,-1.707399,1288,-9.748841971608707,ru38
36.18732589136532,-123.95065653232045,9998298.069999872,10002946.069999872,9998526,-499.85916,-0.02978034,1155,-7.732226792890851,ru38
36.17903490298305,-123.9687976670985,10002946.069999872,10007666.069999872,10007369,-499.92883,-1.5287206,1294,-7.0484033340050685,ru38
36.170907984005915,-123.98636073024115,10008173.102999808,10012731.102999808,10008394,-499.80045,-0.059560757,1148,-7.45586192229708,ru38
36.16211094325875,-124.00188781486868,10012731.102999808,10017263.102999808,10016980,-499.88995,-1.9158653,1282,-9.696887971296286,ru38
36.15273568637623,-124.0177811951656,10017816.0,10022388.0,10018033,-499.9399,-0.049634043,1149,-9.566002908206505,ru38
36.14319064911777,-124.03245059585356,10022388.0,10026988.0,10026709,-499.79175,-1.935722,1281,-9.894818516404877,ru38
36.13412892580201,-124.04749507649821,10027564.0,10032060.0,10027783,-499.9011,-0.009926826,1114,-9.485962135293112,ru38
36.12470256512944,-124.06221993299566,10032060.0,10036628.0,nan,nan,nan,0,nan,ru38
36.09618596282973,-124.10735481846326,10046393.417999871,10050723.417999871,10046605,-499.67502,-0.049634293,1083,-9.322226327344273,ru38
36.08766710026296,-124.12227304579162,10050723.417999871,10055223.417999871,nan,nan,nan,0,nan,ru38
36.06167951796477,-124.16562664946366,10064743.734999808,10068839.734999808,10064945,-499.94388,-0.009926889,1016,-10.911389607075622,ru38
36.05237335800633,-124.17780066654647,10068839.734999808,10073305.734999808,nan,nan,nan,0,nan,ru38
36.02202281386501,-124.21412162565768,10082560.125999872,10087164.125999872,10082772,-499.82678,-0.039707687,1137,-9.664266310395778,ru38
36.01112602064574,-124.22564885704571,10087164.125999872,10091654.125999872,nan,nan,nan,0,nan,ru38
35.97931407775383,-124.26251481898858,10101425.148999937,10105805.148999937,10101638,-499.73956,-0.009926962,1105,-9.177591160021862,ru38
35.97141898266097,-124.27874032854974,10105805.148999937,10110331.148999937,nan,nan,nan,0,nan,ru38
35.946316517948404,-124.32577002091423,10119849.0,10124031.0,10120059,-499.59244,-0.009926991,1040,-9.367852657063045,ru38
35.93748143102194,-124.33890491623015,10124031.0,10128471.0,nan,nan,nan,0,nan,ru38
35.909945166376254,-124.37899980475564,10137817.583000064,10141891.583000064,10138024,-499.72278,-0.009927022,1009,-7.654145616953377,ru38
35.9013235140496,-124.39325871469298,10141891.583000064,10146265.583000064,nan,nan,nan,0,nan,ru38
35.87344897469954,-124.43653859335187,10155630.0,10160144.0,10155824,-499.69467,-0.029781155,1124,-8.174274012563128,ru38
35.86341505717314,-124.45127315153857,10160144.0,10164482.0,nan,nan,nan,0,nan,ru38
35.83316653686536,-124.49524488585524,10174109.192,10178421.192,10174327,-499.84497,-0.019854177,1081,-8.894461366725702,ru38
35.82431143429509,-124.51176509154153,10178421.192,10182839.192,nan,nan,nan,0,nan,ru38
35.797199988941315,-124.56007273047966,10192074.0,10196158.0,10192285,-499.53955,-0.019854238,1036,-8.374204000559635,ru38
35.788543463599055,-124.57465865951576,10196158.0,10200506.0,nan,nan,nan,0,nan,ru38
35.759930669275434,-124.61981681372141,10209808.0,10213894.0,10210011,-499.6303,-0.029781453,1035,-6.330846190789573,ru38
35.75038595482069,-124.6356340577054,10213894.0,10218198.0,nan,nan,nan,0,nan,ru38
35.71971495056777,-124.68466816585564,10227346.0,10231822.0,10227544,-499.9886,-0.039708745,1117,-5.140814141589972,ru38
